OBJECTID,LICENSE,TRADE_NAME,APPLICANT,CLASS,ADDRESS,ADDRID,X,Y,STATUS,TYPE,BREW_PUB,ENTERTAINMENT,SALES_CONSUMPTION,SIDEWALK_CAFE,SUMMER_GARDEN,TASTING,WINE_PUB,WARD,ZIPCODE,SMD,ANC,COVERCHARGE,DANCING,OFFPREMISESTORAGE,STORAGEFACILITY,DISTILLERY_PUB,LONGITUDE,LATITUDE,TOTAL_CAPACITY,GAMES_OF_SKILL,SPORTS_WAGGERING
1875,ABRA-114044,American Son/Kintsugi/Wild Days/Allegory,"1201 K Street F & B Tenant, LLC and PDS DC F&B Partner, LLC",C,1201 K ST NW,243282,397531.09,137229.35,Active,Restaurant,,CHECKED,,CHECKED,CHECKED,,,Ward 2,20005,SMD 2F08,ANC 2F,CHECKED,CHECKED,,,,-77.02846323,38.90291601,1120,,
1876,ABRA-114093,Pfanner Trading,"Pfanner Trading, LLC",B,"645 TAYLOR ST NE, UNIT 1117",288822,400278.59,141368.29,Active,Wholesaler,,,,,,,,Ward 5,20017,SMD 5B05,ANC 5B,,,,,,-76.99678655,38.94020401,,,
1877,ABRA-114097,Ledo Pizza and Bar,"Rob Beverage III, LLC",C,"1400 Irving ST NW, UNIT 109",302718,397084.72,140072.09,Active,Restaurant,,,,,,,,Ward 1,20010,SMD 1A03,ANC 1A,,,,,,-77.03362135,38.92852299,87,,
1878,ABRA-114106,Ocean Lounge,"The McKenzie Group, LLC",C,1220 H ST NE,71113,400916.69,136947.36,Active,Tavern,,CHECKED,,,,,,Ward 6,20002,SMD 6A01,ANC 6A,CHECKED,CHECKED,,,,-76.98943216,38.90037873,75,CHECKED,
1879,ABRA-114110,AC Hotel Washington DC,"Lodging Concessions, LLC",C,1112 19TH ST NW,243291,396193.53,137384.73,Active,Hotel,,CHECKED,,,,,,Ward 2,20036,SMD 2B06,ANC 2B,,,,,,-77.04388437,38.90431095,,,
1880,ABRA-114131,Roy Boys,"Roy Boys 2, LLC",C,"1025 1ST ST SE, #1009",306032,399440.72,134436.62,Active,Restaurant,,,,CHECKED,,,,Ward 6,20003,SMD 6D02,ANC 6D,,,,,,-77.00644548,38.87776101,68,,
1881,ABRA-114148,Other Half Brewing,OHB DC Limited Liability Company,B,1401 OKIE ST NE,286133,401376.46,138507.12,Active,Manufacturer,,CHECKED,CHECKED,,CHECKED,CHECKED,,Ward 5,20002,SMD 5D01,ANC 5D,,,,,,-76.98412869,38.91442899,,,
1882,ABRA-114149,Riggs Washington DC,Riggs F&B LLC,C,900 F ST NW,243269,397889.76,136579.88,Active,Hotel,,CHECKED,,CHECKED,CHECKED,,,Ward 2,20004,SMD 2C01,ANC 2C,,CHECKED,,,,-77.02432625,38.89706629,312,,
1883,ABRA-114180,Toscana Market,"CAV400KSTREET, LLC",C,400 K ST NW,311471,398573.57,137149.35,Active,Restaurant,,,,,,,,Ward 6,20001,SMD 6E05,ANC 6E,,,,,,-77.01644467,38.90219765,,,
1884,ABRA-114201,Mr. Braxton Bar and Kitchen,"Braxton Restaurant & Bar, LLC",C,3632 GEORGIA AVE NW,232145,397885.65,140787.36,Issued,Tavern,,CHECKED,,,CHECKED,,,Ward 1,20010,SMD 1A08,ANC 1A,CHECKED,CHECKED,,,,-77.02438659,38.93496865,100,,
1885,ABRA-114205,Mama 'San/Harlot,"Nicolas Hospitality, Inc.",C,2001 11TH ST NW,239179,397673.99,138810.29,Active,Tavern,,CHECKED,,,,,,Ward 1,20001,SMD 1B02,ANC 1B,CHECKED,CHECKED,,,,-77.02682114,38.91715805,200,,
1886,ABRA-114208,Mi Vida,"Mi Vida Wharf, LLC",Caterer,98 District SQ SW,315303,397764.38,134676.36,Active,Caterer,,,,,,,,Ward 6,20024,SMD 6D04,ANC 6D,,,,,,-77.02576541,38.87991802,,,
1887,ABRA-114225,Piccolina,"Chef AmyB, LLC",C,963 PALMER AL NW,311696,397792.36,136953.8,Active,Restaurant,,,,,CHECKED,,,Ward 2,20001,SMD 2C01,ANC 2C,,,,,,-77.02545025,38.90043445,70,,
1888,ABRA-114228,AC Hotel Washington DC,"Lodging Concessions, LLC",B,1112 19TH ST NW,243291,396193.53,137384.73,Active,25 Percent,,,,,,,,Ward 2,20036,SMD 2B06,ANC 2B,,,,,,-77.04388437,38.90431095,,,
